,N_specific_act_view,N_activity_count,N_total_submission,N_session_id_count,N_class_view_count,N_activity_page_view,N_material_view,N_avgspent_time,N_avgseconds_early,N_act+quiz_view,N_submit_button_clicked,N_expectation_met_count,N_avglevel,maxlevel
118,0.0,0.0,0.0,0.6,0.45945945945946,0.5,0.0,0.0,0.999187153567445,0.454545454545454,1.0,0.5,0.4,2
119,0.0,0.0,0.0,0.2,0.162162162162162,0.214285714285714,0.2,0.0,0.999364903673854,0.0,0.0,0.5,0.4,2
120,0.0,0.0,0.0,0.8,0.324324324324324,0.142857142857143,0.0,0.0,0.998698100571971,0.727272727272727,0.0,0.5,0.4,2
121,0.0,0.0,0.0,0.2,0.0810810810810811,0.142857142857143,0.0,0.0,0.999473475360472,0.0909090909090909,0.2,0.0,0.0,1
122,0.0,1.0,1.0,0.4,0.378378378378378,0.214285714285714,0.6,0.0,0.998941185852629,0.181818181818182,0.0,1.0,0.533333333333332,3
123,0.0,0.0,0.0,0.0,0.027027027027027,0.0,0.0,0.0,0.998706747874445,0.0,0.0,0.5,0.4,2
124,0.0,0.5,0.5,0.6,0.324324324324324,0.214285714285714,0.0,0.0,0.998625078906635,0.0909090909090909,0.2,1.0,0.8,4
125,0.0,0.0,0.0,0.0,0.0540540540540541,0.0714285714285714,0.0,0.0,0.998775926294237,0.181818181818182,0.2,0.0,0.0,1
126,0.0,0.5,0.5,0.0,0.0810810810810811,0.142857142857143,0.0,0.0,0.998503055860613,0.181818181818182,0.2,1.0,0.8,4
127,0.0,0.5,0.5,0.2,0.135135135135135,0.0714285714285714,0.0,0.0,0.998653903248215,0.181818181818182,0.0,1.0,1.0,5
128,0.0,0.0,0.0,0.0,0.027027027027027,0.0714285714285714,0.0,0.0,0.99951479025007,0.0,0.2,0.5,0.4,2
129,0.0,0.0,0.0,0.2,0.0540540540540541,0.0714285714285714,0.0,0.0,0.998731728970481,0.0909090909090909,0.2,0.0,0.0,1
130,1.0,0.0,0.0,0.2,0.027027027027027,0.0,0.0,0.0,0.998751906009587,0.181818181818182,0.2,0.0,0.0,1
131,1.0,0.5,0.5,0.2,0.297297297297297,0.0714285714285714,0.0,0.0,0.0,0.363636363636364,0.2,0.5,0.4,3
132,0.0,0.0,0.0,0.4,0.108108108108108,0.142857142857143,0.0,0.0,0.998980579119455,0.0909090909090909,0.0,0.5,0.4,2
133,0.0,0.0,0.0,0.0,0.0810810810810811,0.0714285714285714,0.0,0.0,0.998735572216025,0.181818181818182,0.2,0.5,0.4,2
134,0.0,0.0,0.0,0.0,0.243243243243243,0.428571428571429,0.0,0.0,0.998659668116531,0.0909090909090909,0.2,0.5,0.4,2
135,0.0,0.0,0.0,0.2,0.0810810810810811,0.0714285714285714,0.0,0.0,0.998675041098707,0.0909090909090909,0.2,0.5,0.4,2
136,0.0,0.0,0.0,0.6,0.405405405405405,0.285714285714286,0.0,0.0,0.999260175232781,0.545454545454545,0.4,0.5,0.4,2
137,1.0,0.0,0.0,0.4,0.243243243243243,0.142857142857143,0.2,0.0,0.998790338465027,0.363636363636364,0.4,0.5,0.4,2
138,0.0,0.0,0.0,0.4,0.243243243243243,0.5,0.0,0.0,0.998790338465027,0.181818181818182,0.4,0.5,0.4,2
139,1.0,0.0,0.0,0.2,0.27027027027027,0.285714285714286,0.0,0.0,0.998593372130897,0.272727272727273,0.2,0.5,0.4,2
140,0.0,0.5,0.5,0.2,0.135135135135135,0.0714285714285714,0.0,0.0,0.999044953482317,0.363636363636364,0.2,1.0,1.0,5
141,0.0,0.5,0.5,0.0,0.027027027027027,0.0,0.0,0.0,0.998745180329885,0.0,0.0,1.0,0.6,3
142,0.0,0.0,0.0,0.2,0.162162162162162,0.214285714285714,0.6,0.0,0.998721160045235,0.0909090909090909,0.0,0.5,0.4,2
143,0.0,0.0,0.0,0.0,0.162162162162162,0.357142857142857,0.0,0.0,0.998746141141271,0.181818181818182,0.2,0.5,0.4,2
144,0.0,0.0,0.0,0.0,0.621621621621622,0.571428571428571,0.6,0.0,0.998756710066517,0.181818181818182,0.2,0.0,0.0,1
145,0.0,0.0,0.0,0.8,0.405405405405405,0.285714285714286,0.2,0.0,0.998672158664549,0.636363636363636,0.2,0.5,0.8,3
146,1.0,0.0,0.0,0.2,0.567567567567568,0.5,0.6,0.0,0.998528997768035,0.272727272727273,0.2,0.0,0.0,1
147,0.0,0.0,0.0,0.0,0.135135135135135,0.214285714285714,0.0,0.0,0.998947911532331,0.181818181818182,0.2,0.5,0.4,2
148,0.0,0.5,0.5,0.2,0.108108108108108,0.214285714285714,0.0,0.0,0.998749503981122,0.181818181818182,0.2,0.5,0.2,2
149,0.0,0.0,0.0,1.0,0.621621621621622,0.642857142857143,0.0,0.0,0.998238832729463,1.0,0.4,0.5,0.4,2
150,0.0,0.5,0.5,0.2,0.216216216216216,0.357142857142857,0.0,0.0,0.999055522407563,0.181818181818182,0.2,0.5,0.4,3
151,0.0,0.0,0.0,0.0,0.027027027027027,0.0714285714285714,0.0,0.0,0.99948116185156,0.0909090909090909,0.2,0.5,0.4,2
152,1.0,0.5,0.5,0.4,0.297297297297297,0.0,0.0,0.0,0.998599136999213,0.272727272727273,0.0,1.0,0.6,3
153,0.0,0.0,0.0,0.2,0.108108108108108,0.142857142857143,0.0,0.0,0.998858556073433,0.181818181818182,0.0,0.5,0.4,2
154,1.0,0.0,0.0,0.2,0.243243243243243,0.214285714285714,0.0,0.0,0.998864320941749,0.636363636363636,0.2,0.5,0.4,2
155,0.0,0.0,0.0,0.0,0.216216216216216,0.214285714285714,0.0,0.0,0.998593372130897,0.454545454545454,0.2,0.5,0.4,2
156,0.0,0.5,0.5,0.2,0.162162162162162,0.214285714285714,0.2,0.0,0.998541488316053,0.181818181818182,0.2,0.5,0.8,5
157,0.0,0.0,0.0,0.2,0.216216216216216,0.285714285714286,0.2,0.0,0.998673119475935,0.0,0.0,0.0,0.0,1
158,0.0,0.0,0.0,0.2,0.108108108108108,0.214285714285714,0.0,0.0,0.998787456030869,0.0909090909090909,0.2,0.5,0.4,2
159,0.0,0.0,0.0,0.2,0.216216216216216,0.214285714285714,0.0,0.0,0.998816280372449,0.454545454545454,0.0,0.5,0.4,2
160,0.0,0.5,0.5,0.0,0.0540540540540541,0.0714285714285714,0.0,0.0,0.998624118095249,0.181818181818182,0.2,0.5,0.2,2
161,0.0,1.0,1.0,0.4,0.216216216216216,0.214285714285714,0.2,0.0,0.998681126237485,0.272727272727273,0.6,1.0,0.533333333333332,3
162,0.0,0.5,0.5,0.2,0.189189189189189,0.142857142857143,0.0,0.0,0.998840300657099,0.0909090909090909,0.0,0.5,0.2,2
163,0.0,0.0,0.0,0.4,0.162162162162162,0.142857142857143,0.0,0.0,0.998845104714029,0.272727272727273,0.0,0.0,0.0,1
164,0.0,0.0,0.0,0.0,0.297297297297297,0.357142857142857,0.0,0.0,0.998794181710571,0.636363636363636,0.2,0.5,0.4,2
165,0.0,0.5,0.5,0.6,0.216216216216216,0.285714285714286,0.2,0.0,0.999421591545628,0.0,0.0,1.0,0.6,3
166,0.0,0.0,0.0,0.2,0.0810810810810811,0.142857142857143,0.0,0.0,0.998749023575429,0.0909090909090909,0.2,0.5,0.4,2
167,1.0,0.5,0.5,0.2,0.216216216216216,0.142857142857143,0.2,0.0,0.998803789824431,0.181818181818182,0.2,1.0,1.0,5
168,0.0,0.0,0.0,0.4,0.243243243243243,0.357142857142857,0.4,0.0,0.998885458792241,0.0,0.0,0.5,0.4,2
169,1.0,0.0,0.0,0.2,1.0,1.0,1.0,0.0,0.998860477696205,0.181818181818182,0.0,0.5,0.4,2
170,0.0,0.5,0.5,0.2,0.189189189189189,0.285714285714286,0.0,0.0,0.998694257326427,0.0909090909090909,0.2,0.5,0.6,4
171,0.0,0.0,0.0,0.0,0.162162162162162,0.214285714285714,0.0,0.0,0.998686570835339,0.363636363636364,0.2,0.5,0.4,2
172,0.0,0.5,0.5,0.2,0.0810810810810811,0.142857142857143,0.0,0.0,0.998701943817515,0.0909090909090909,0.0,0.0,0.0,1
173,0.0,0.5,0.5,0.2,0.189189189189189,0.142857142857143,0.0,0.0,0.998865281753135,0.181818181818182,0.0,1.0,1.0,5
174,0.0,0.5,0.5,0.2,0.108108108108108,0.214285714285714,0.0,0.0,0.99937066854217,0.0909090909090909,0.2,1.0,0.8,4
175,0.0,0.0,0.0,0.2,0.027027027027027,0.0714285714285714,0.0,0.0,0.99966852007183,0.0909090909090909,0.2,0.5,0.4,2
176,0.0,0.0,0.0,0.4,0.243243243243243,0.0,0.0,0.0,0.998846065525415,0.0909090909090909,0.2,0.0,0.0,1
177,0.0,0.5,0.5,0.6,0.189189189189189,0.214285714285714,0.0,0.0,0.99992313508912,0.181818181818182,0.4,1.0,0.6,3
178,1.0,0.5,0.5,0.8,0.72972972972973,0.785714285714286,1.0,0.0,0.998830692543239,0.181818181818182,0.0,1.0,0.6,3
