clo_id,user_id,class_id,activity_id,type,cri_id,submission_id,submitted_at,spent_time,due_date,level,point
26714,83982,54537,717668,ASM,941940,1260713,2021-08-20 15:21:05,,2021-08-20 15:30:59,5,100.0
26714,83983,54537,717668,ASM,941940,1260664,2021-08-20 15:08:55,,2021-08-20 15:30:59,5,100.0
26704,83990,54562,755254,ASM,981568,1294369,2021-08-28 12:21:59,,2021-08-28 12:32:59,5,19.0
26704,83991,54562,755254,ASM,981568,1294260,2021-08-28 12:20:29,,2021-08-28 12:32:59,5,20.0
26704,83992,54562,755254,ASM,981568,1294653,2021-08-28 12:24:54,,2021-08-28 12:32:59,5,20.0
26704,83993,54562,755254,ASM,981568,1294263,2021-08-28 12:20:31,,2021-08-28 12:32:59,1,1.0
26704,83997,54562,755254,ASM,981568,1294698,2021-08-28 12:25:25,,2021-08-28 12:32:59,5,18.0
26704,83998,54562,755254,ASM,981568,1294320,2021-08-28 12:21:22,,2021-08-28 12:32:59,5,18.0
26704,83999,54562,755254,ASM,981568,1294497,2021-08-28 12:23:20,,2021-08-28 12:32:59,5,19.0
26704,84000,54562,755254,ASM,981568,1294338,2021-08-28 12:21:38,,2021-08-28 12:32:59,5,20.0
26704,84001,54562,755254,ASM,981568,1294446,2021-08-28 12:22:52,,2021-08-28 12:32:59,5,20.0
26704,84002,54562,755254,ASM,981568,1294218,2021-08-28 12:18:58,,2021-08-28 12:32:59,5,17.0
26704,84003,54562,755254,ASM,981568,1294732,2021-08-28 12:25:54,,2021-08-28 12:32:59,2,2.0
26704,84004,54562,755254,ASM,981568,1294438,2021-08-28 12:22:45,,2021-08-28 12:32:59,4,11.0
26704,84005,54562,755254,ASM,981568,1294680,2021-08-28 12:25:11,,2021-08-28 12:32:59,2,3.0
26704,84006,54562,755254,ASM,981568,1294682,2021-08-28 12:25:14,,2021-08-28 12:32:59,5,18.0
26704,84077,56770,755255,ASM,981569,1294606,2021-08-28 12:24:21,,2021-08-28 12:32:59,2,2.0
26704,84079,56770,755255,ASM,981569,1294821,2021-08-28 12:27:25,,2021-08-28 12:32:59,2,2.0
26704,84080,56770,755255,ASM,981569,1294390,2021-08-28 12:22:17,,2021-08-28 12:32:59,5,20.0
26704,84081,56770,755255,ASM,981569,1294819,2021-08-28 12:27:24,,2021-08-28 12:32:59,2,2.0
26704,84082,56770,755255,ASM,981569,1295028,2021-08-28 12:37:25,,2021-08-28 12:32:59,2,2.0
26704,84083,56770,755255,ASM,981569,1294740,2021-08-28 12:26:03,,2021-08-28 12:32:59,3,7.0
26704,84113,56770,755255,ASM,981569,1295024,2021-08-28 12:36:31,,2021-08-28 12:32:59,3,8.0
26704,84114,56770,755255,ASM,981569,1295006,2021-08-28 12:33:30,,2021-08-28 12:32:59,3,8.0
26704,84115,56770,755255,ASM,981569,1294684,2021-08-28 12:25:16,,2021-08-28 12:32:59,2,4.0
26704,84116,56770,755255,ASM,981569,1294641,2021-08-28 12:24:48,,2021-08-28 12:32:59,2,2.0
26704,84118,56770,755255,ASM,981569,1294564,2021-08-28 12:23:55,,2021-08-28 12:32:59,2,4.0
26704,84119,56770,755255,ASM,981569,1294529,2021-08-28 12:23:34,,2021-08-28 12:32:59,2,2.0
26704,84121,56770,755255,ASM,981569,1294551,2021-08-28 12:23:48,,2021-08-28 12:32:59,2,2.0
26704,84122,56770,755255,ASM,981569,1294549,2021-08-28 12:23:46,,2021-08-28 12:32:59,2,2.0
26704,84124,56770,755255,ASM,981569,1294994,2021-08-28 12:31:34,,2021-08-28 12:32:59,2,2.0
26704,84125,56770,755255,ASM,981569,1295019,2021-08-28 12:36:01,,2021-08-28 12:32:59,3,6.0
26704,84128,56770,755255,ASM,981569,1294856,2021-08-28 12:28:05,,2021-08-28 12:32:59,4,15.0
26704,84129,56770,755255,ASM,981569,1294383,2021-08-28 12:22:13,,2021-08-28 12:32:59,2,5.0
26701,84150,53551,704244,ASM,931113,1239130,2021-08-12 16:50:08,,2021-08-13 12:00:59,3,60.0
26701,84152,53551,704244,ASM,931113,1239937,2021-08-13 05:11:42,,2021-08-13 12:00:59,3,60.0
26701,84153,53551,704244,ASM,931113,1239517,2021-08-12 21:35:46,,2021-08-13 12:00:59,3,60.0
26701,84154,53551,704244,ASM,931113,1239231,2021-08-12 17:58:47,,2021-08-13 12:00:59,3,60.0
26701,84155,53551,704244,ASM,931113,1242834,2021-08-14 17:49:02,,2021-08-13 12:00:59,1,20.0
26701,84156,53551,704244,ASM,931113,1239459,2021-08-12 20:43:10,,2021-08-13 12:00:59,3,60.0
26701,84157,53551,704244,ASM,931113,1239902,2021-08-13 01:10:17,,2021-08-13 12:00:59,3,60.0
26701,84158,53551,704244,ASM,931113,1239933,2021-08-13 04:06:57,,2021-08-13 12:00:59,3,60.0
26701,84159,53551,704244,ASM,931113,1239601,2021-08-12 23:16:50,,2021-08-13 12:00:59,3,60.0
26701,84160,53551,704244,ASM,931113,1239241,2021-08-12 18:09:43,,2021-08-13 12:00:59,3,60.0
26701,84161,53551,704244,ASM,931113,1341186,2021-09-08 14:42:49,,2021-08-13 12:00:59,1,20.0
26701,84162,53551,704244,ASM,931113,1239214,2021-08-12 17:43:58,,2021-08-13 12:00:59,3,60.0
26701,84163,53551,704244,ASM,931113,1257393,2021-08-19 17:31:54,,2021-08-13 12:00:59,1,20.0
26701,84165,53551,704244,ASM,931113,1239194,2021-08-12 17:28:48,,2021-08-13 12:00:59,3,60.0
26701,84226,53551,704244,ASM,931113,1239255,2021-08-12 18:30:23,,2021-08-13 12:00:59,3,60.0
26701,84227,53551,704244,ASM,931113,1239249,2021-08-12 18:22:39,,2021-08-13 12:00:59,3,60.0
26701,84228,53551,704244,ASM,931113,1239208,2021-08-12 17:40:57,,2021-08-13 12:00:59,3,60.0
26701,84229,53551,704244,ASM,931113,1239634,2021-08-12 23:49:23,,2021-08-13 12:00:59,3,60.0
26701,84231,53551,704244,ASM,931113,1239311,2021-08-12 19:22:02,,2021-08-13 12:00:59,2,40.0
26701,84232,53551,704244,ASM,931113,1239520,2021-08-12 21:37:30,,2021-08-13 12:00:59,3,60.0
26701,84235,53551,704244,ASM,931113,1239555,2021-08-12 22:21:57,,2021-08-13 12:00:59,3,60.0
26701,84236,53551,704244,ASM,931113,1239120,2021-08-12 16:42:45,,2021-08-13 12:00:59,3,60.0
26701,84237,53551,704244,ASM,931113,1239487,2021-08-12 21:13:17,,2021-08-13 12:00:59,3,60.0
26701,84238,53551,704244,ASM,931113,1239121,2021-08-12 16:42:51,,2021-08-13 12:00:59,3,60.0
26701,84239,53551,704244,ASM,931113,1239285,2021-08-12 19:07:32,,2021-08-13 12:00:59,3,60.0
26701,84240,53551,704244,ASM,931113,1239453,2021-08-12 20:36:32,,2021-08-13 12:00:59,3,60.0
26701,84241,53551,704244,ASM,931113,1239560,2021-08-12 22:29:45,,2021-08-13 12:00:59,3,60.0
26701,84242,53551,704244,ASM,931113,1239499,2021-08-12 21:22:18,,2021-08-13 12:00:59,2,40.0
26701,84243,53551,704244,ASM,931113,1239389,2021-08-12 19:49:36,,2021-08-13 12:00:59,3,60.0
26701,84244,53551,704244,ASM,931113,1251651,2021-08-18 09:49:15,,2021-08-13 12:00:59,1,20.0
26701,84245,53551,704244,ASM,931113,1239166,2021-08-12 17:15:26,,2021-08-13 12:00:59,2,40.0
26701,84246,53551,704244,ASM,931113,1239171,2021-08-12 17:17:51,,2021-08-13 12:00:59,3,60.0
26701,84247,53551,704244,ASM,931113,1239608,2021-08-12 23:26:54,,2021-08-13 12:00:59,3,60.0
26701,84248,53551,704244,ASM,931113,1239446,2021-08-12 20:31:17,,2021-08-13 12:00:59,3,60.0
26701,84249,53551,704244,ASM,931113,1240247,2021-08-13 10:32:55,,2021-08-13 12:00:59,3,60.0
26701,84250,53551,704244,ASM,931113,1239290,2021-08-12 19:09:28,,2021-08-13 12:00:59,3,60.0
26701,84251,53551,704244,ASM,931113,1239267,2021-08-12 18:48:50,,2021-08-13 12:00:59,3,60.0
26701,84252,53551,704244,ASM,931113,1239936,2021-08-13 04:39:21,,2021-08-13 12:00:59,3,60.0
26701,84253,53551,704244,ASM,931113,1240245,2021-08-13 10:32:07,,2021-08-13 12:00:59,2,40.0
26701,84254,53551,704244,ASM,931113,1240144,2021-08-13 09:35:05,,2021-08-13 12:00:59,3,60.0
26701,84255,53551,704244,ASM,931113,1239191,2021-08-12 17:27:18,,2021-08-13 12:00:59,3,60.0
26701,84259,53551,704244,ASM,931113,1239227,2021-08-12 17:54:42,,2021-08-13 12:00:59,3,60.0
26701,84260,53551,704244,ASM,931113,1239606,2021-08-12 23:22:38,,2021-08-13 12:00:59,3,60.0
26701,84261,53551,704244,ASM,931113,1239926,2021-08-13 03:03:35,,2021-08-13 12:00:59,3,60.0
26701,84262,53551,704244,ASM,931113,1239147,2021-08-12 16:58:59,,2021-08-13 12:00:59,3,60.0
26701,84263,53551,704244,ASM,931113,1239417,2021-08-12 20:04:13,,2021-08-13 12:00:59,2,40.0
26701,84264,53551,704244,ASM,931113,1239437,2021-08-12 20:26:08,,2021-08-13 12:00:59,3,60.0
26701,84265,53551,704244,ASM,931113,1239502,2021-08-12 21:24:25,,2021-08-13 12:00:59,3,60.0
26701,84266,53551,704244,ASM,931113,1239423,2021-08-12 20:19:10,,2021-08-13 12:00:59,3,60.0
26701,84268,53551,704244,ASM,931113,1239159,2021-08-12 17:06:04,,2021-08-13 12:00:59,3,60.0
26701,84269,53551,704244,ASM,931113,1240917,2021-08-13 14:54:53,,2021-08-13 12:00:59,1,20.0
26701,84270,53551,704244,ASM,931113,1240239,2021-08-13 10:26:36,,2021-08-13 12:00:59,2,40.0
26701,84271,53551,704244,ASM,931113,1239416,2021-08-12 20:04:02,,2021-08-13 12:00:59,3,60.0
26701,84272,53551,704244,ASM,931113,1239512,2021-08-12 21:33:33,,2021-08-13 12:00:59,3,60.0
26701,84273,53551,704244,ASM,931113,1239596,2021-08-12 23:15:17,,2021-08-13 12:00:59,3,60.0
